month,state,totals
2018-03,Kansas,18772
2018-03,Kentucky,421247
2018-03,Louisiana,31519
2018-03,Maine,10684
2018-03,Mariana Islands,25
2018-03,Maryland,17841
2018-03,Massachusetts,22326
2018-03,Michigan,59589
2018-03,Minnesota,72268
2018-03,Mississippi,27387
2018-03,Missouri,58076
2018-03,Montana,13402
2018-03,Nebraska,9048
2018-03,Nevada,14322
2018-03,New Hampshire,14184
2018-03,New Jersey,10195
2018-03,New Mexico,18357
2018-03,New York,37050
2018-03,North Carolina,61950
2018-03,North Dakota,6803
2018-03,Ohio,91247
2018-03,Oklahoma,35317
2018-03,Oregon,41616
2018-03,Pennsylvania,123031
2018-03,Puerto Rico,2072
2018-03,Rhode Island,3528
2018-03,South Carolina,29427
2018-03,South Dakota,10135
2018-03,Tennessee,71458
2018-03,Texas,161200
2018-03,Utah,33649
2018-03,Vermont,6177
2018-03,Virgin Islands,195
2018-03,Virginia,55765
2018-03,Washington,66587
2018-03,West Virginia,40701
2018-03,Wisconsin,56482
2018-03,Wyoming,6476
2018-02,Alabama,45171
2018-02,Alaska,5392
2018-02,Arizona,36281
2018-02,Arkansas,24266
2018-02,California,107649
2018-02,Colorado,47221
2018-02,Connecticut,15617
2018-02,Delaware,4651
2018-02,District of Columbia,217
2018-02,Florida,119561
2018-02,Georgia,57838
2018-02,Guam,146
2018-02,Hawaii,1074
2018-02,Idaho,20359
2018-02,Illinois,185288
2018-02,Indiana,81904
2018-02,Iowa,17387
2018-02,Kansas,18016
2018-02,Kentucky,417418
2018-02,Louisiana,26449
2018-02,Maine,7816
2018-02,Mariana Islands,20
2018-02,Maryland,13245
2018-02,Massachusetts,16463
2018-02,Michigan,44706
2018-02,Minnesota,49636
2018-02,Mississippi,25182
2018-02,Missouri,49381
2018-02,Montana,9983
2018-02,Nebraska,7585
2018-02,Nevada,12407
2018-02,New Hampshire,11486
2018-02,New Jersey,8459
2018-02,New Mexico,15891
2018-02,New York,31129
2018-02,North Carolina,53082
2018-02,North Dakota,5116
2018-02,Ohio,73240
2018-02,Oklahoma,31763
2018-02,Oregon,32397
2018-02,Pennsylvania,98075
2018-02,Puerto Rico,2076
2018-02,Rhode Island,2646
2018-02,South Carolina,28968
2018-02,South Dakota,8086
2018-02,Tennessee,66667
2018-02,Texas,155942
2018-02,Utah,22632
2018-02,Vermont,3870
2018-02,Virgin Islands,41
2018-02,Virginia,47385
2018-02,Washington,53915
2018-02,West Virginia,23344
2018-02,Wisconsin,43777
2018-02,Wyoming,5057
2018-01,Alabama,38477
2018-01,Alaska,4429
2018-01,Arizona,28627
2018-01,Arkansas,17483
2018-01,California,119910
2018-01,Colorado,41989
2018-01,Connecticut,13775
2018-01,Delaware,3684
2018-01,District of Columbia,283
2018-01,Florida,98243
2018-01,Georgia,45591
2018-01,Guam,135
2018-01,Hawaii,1185
2018-01,Idaho,15060
2018-01,Illinois,170007
2018-01,Indiana,83769
2018-01,Iowa,19745
2018-01,Kansas,13782
2018-01,Kentucky,402376
2018-01,Louisiana,20744
2018-01,Maine,5850
2018-01,Mariana Islands,10
2018-01,Maryland,12564
2018-01,Massachusetts,16120
2018-01,Michigan,35895
2018-01,Minnesota,50478
2018-01,Mississippi,16642
2018-01,Missouri,35204
2018-01,Montana,7448
2018-01,Nebraska,6645
2018-01,Nevada,9952
2018-01,New Hampshire,8758
2018-01,New Jersey,8010
2018-01,New Mexico,11783
2018-01,New York,26079
2018-01,North Carolina,43439
2018-01,North Dakota,4388
2018-01,Ohio,52079
2018-01,Oklahoma,23460
2018-01,Oregon,27037
2018-01,Pennsylvania,78428
2018-01,Puerto Rico,2022
2018-01,Rhode Island,1882
2018-01,South Carolina,22311
2018-01,South Dakota,6556
2018-01,Tennessee,55251
2018-01,Texas,123042
2018-01,Utah,21187
2018-01,Vermont,2268
2018-01,Virgin Islands,137
2018-01,Virginia,35206
2018-01,Washington,51432
2018-01,West Virginia,15102
2018-01,Wisconsin,36791
2018-01,Wyoming,3971
2017-12,Alabama,56545
2017-12,Alaska,8330
2017-12,Arizona,41559
2017-12,Arkansas,29559
2017-12,California,142492
2017-12,Colorado,59800
2017-12,Connecticut,15455
2017-12,Delaware,5544
2017-12,District of Columbia,204
2017-12,Florida,137355
2017-12,Georgia,64491
2017-12,Guam,181
2017-12,Hawaii,1119
2017-12,Idaho,19750
2017-12,Illinois,163756
2017-12,Indiana,92261
2017-12,Iowa,19236
2017-12,Kansas,23133
2017-12,Kentucky,417841
2017-12,Louisiana,41735
2017-12,Maine,9364
2017-12,Mariana Islands,23
2017-12,Maryland,16062
2017-12,Massachusetts,17941
2017-12,Michigan,45578
2017-12,Minnesota,51143
2017-12,Mississippi,35528
2017-12,Missouri,62810
2017-12,Montana,12979
2017-12,Nebraska,8953
2017-12,Nevada,13626
2017-12,New Hampshire,12035
2017-12,New Jersey,9341
2017-12,New Mexico,18635
2017-12,New York,36347
2017-12,North Carolina,57209
2017-12,North Dakota,6528
2017-12,Ohio,78726
2017-12,Oklahoma,41245
2017-12,Oregon,38537
2017-12,Pennsylvania,107730
2017-12,Puerto Rico,2767
2017-12,Rhode Island,2269
2017-12,South Carolina,38260
2017-12,South Dakota,10507
2017-12,Tennessee,87983
2017-12,Texas,181236
2017-12,Utah,27220
2017-12,Vermont,3759
2017-12,Virgin Islands,131
2017-12,Virginia,60398
2017-12,Washington,58937
2017-12,West Virginia,27273
2017-12,Wisconsin,47120
2017-12,Wyoming,6940
2017-11,Alabama,47418
2017-11,Alaska,7527
2017-11,Arizona,34541
2017-11,Arkansas,26049
2017-11,California,140695
2017-11,Colorado,51473
2017-11,Connecticut,14334
2017-11,Delaware,4577
2017-11,District of Columbia,365
2017-11,Florida,123397
2017-11,Georgia,54950
2017-11,Guam,127
2017-11,Hawaii,1171
2017-11,Idaho,15772
2017-11,Illinois,150588
2017-11,Indiana,75879
2017-11,Iowa,17182
2017-11,Kansas,20460
2017-11,Kentucky,404508
2017-11,Louisiana,35485
2017-11,Maine,8578
2017-11,Mariana Islands,21
2017-11,Maryland,16266
2017-11,Massachusetts,17548
2017-11,Michigan,54350
2017-11,Minnesota,48087
2017-11,Mississippi,28188
2017-11,Missouri,56129
2017-11,Montana,11107
2017-11,Nebraska,8303
2017-11,Nevada,12064
2017-11,New Hampshire,11627
2017-11,New Jersey,9433
2017-11,New Mexico,16110
2017-11,New York,37306
2017-11,North Carolina,51839
2017-11,North Dakota,6334
2017-11,Ohio,76732
2017-11,Oklahoma,38406
2017-11,Oregon,34103
2017-11,Pennsylvania,104479
2017-11,Puerto Rico,2307
2017-11,Rhode Island,2173
2017-11,South Carolina,34132
2017-11,South Dakota,9908
2017-11,Tennessee,74800
2017-11,Texas,163358
2017-11,Utah,24359
2017-11,Vermont,3240
2017-11,Virgin Islands,86
2017-11,Virginia,53142
2017-11,Washington,53072
2017-11,West Virginia,24455
2017-11,Wisconsin,48683
2017-11,Wyoming,5665
2017-10,Alabama,36619
2017-10,Alaska,8080
2017-10,Arizona,29277
2017-10,Arkansas,20327
2017-10,California,119395
2017-10,Colorado,40163
2017-10,Connecticut,13201
2017-10,Delaware,3692
2017-10,District of Columbia,217
2017-10,Florida,103032
2017-10,Georgia,43293
2017-10,Guam,135
2017-10,Hawaii,1235
2017-10,Idaho,15130
2017-10,Illinois,122798
2017-10,Indiana,55336
2017-10,Iowa,14012
2017-10,Kansas,15018
2017-10,Kentucky,401155
2017-10,Louisiana,27436
2017-10,Maine,10328
2017-10,Mariana Islands,9
2017-10,Maryland,13651
2017-10,Massachusetts,16842
2017-10,Michigan,44262
2017-10,Minnesota,55012
2017-10,Mississippi,19080
2017-10,Missouri,43987
2017-10,Montana,11673
2017-10,Nebraska,6543
2017-10,Nevada,10198
2017-10,New Hampshire,10371
2017-10,New Jersey,7852
2017-10,New Mexico,13543
2017-10,New York,32615
2017-10,North Carolina,43211
2017-10,North Dakota,6209
2017-10,Ohio,56960
2017-10,Oklahoma,25822
2017-10,Oregon,27786
2017-10,Pennsylvania,87064
2017-10,Puerto Rico,1306
2017-10,Rhode Island,2103
2017-10,South Carolina,28996
2017-10,South Dakota,9244
2017-10,Tennessee,55531
2017-10,Texas,129869
2017-10,Utah,19619
2017-10,Vermont,3463
2017-10,Virgin Islands,68
2017-10,Virginia,40293
2017-10,Washington,48147
2017-10,West Virginia,18256
2017-10,Wisconsin,43183
2017-10,Wyoming,4370
2017-09,Alabama,32019
2017-09,Alaska,6303
2017-09,Arizona,28394
2017-09,Arkansas,17747
2017-09,California,123506
2017-09,Colorado,35873
2017-09,Connecticut,12117
2017-09,Delaware,3502
2017-09,District of Columbia,61
2017-09,Florida,77390
2017-09,Georgia,35371
2017-09,Guam,135
2017-09,Hawaii,948
2017-09,Idaho,14938
2017-09,Illinois,116449
2017-09,Indiana,48524
2017-09,Iowa,9975
2017-09,Kansas,12856
2017-09,Kentucky,398706
2017-09,Louisiana,27821
2017-09,Maine,8715
2017-09,Mariana Islands,16
2017-09,Maryland,11255
2017-09,Massachusetts,15460
2017-09,Michigan,36944
2017-09,Minnesota,44552
2017-09,Mississippi,17491
2017-09,Missouri,37571
2017-09,Montana,10283
2017-09,Nebraska,5345
2017-09,Nevada,9460
2017-09,New Hampshire,10689
2017-09,New Jersey,7165
2017-09,New Mexico,12491
2017-09,New York,30703
2017-09,North Carolina,37325
2017-09,North Dakota,5212
2017-09,Ohio,49942
2017-09,Oklahoma,23371
2017-09,Oregon,27277
2017-09,Pennsylvania,77003
2017-09,Puerto Rico,791
2017-09,Rhode Island,1799
2017-09,South Carolina,25930
2017-09,South Dakota,7457
2017-09,Tennessee,50945
2017-09,Texas,128260
2017-09,Utah,20041
2017-09,Vermont,3084
2017-09,Virgin Islands,9
2017-09,Virginia,36446
2017-09,Washington,43049
2017-09,West Virginia,16723
2017-09,Wisconsin,37506
2017-09,Wyoming,4281
2017-08,Alabama,35038
2017-08,Alaska,6946
2017-08,Arizona,29376
2017-08,Arkansas,17517
2017-08,California,130901
2017-08,Colorado,37150
2017-08,Connecticut,14019
2017-08,Delaware,3509
2017-08,District of Columbia,80
2017-08,Florida,96664
2017-08,Georgia,38830
2017-08,Guam,159
2017-08,Hawaii,1079
2017-08,Idaho,13341
2017-08,Illinois,126921
2017-08,Indiana,47649
2017-08,Iowa,9416
2017-08,Kansas,13097
2017-08,Kentucky,394718
2017-08,Louisiana,24694
2017-08,Maine,7751
2017-08,Mariana Islands,27
2017-08,Maryland,11561
2017-08,Massachusetts,16258
2017-08,Michigan,39255
2017-08,Minnesota,46613
2017-08,Mississippi,21963
2017-08,Missouri,37449
2017-08,Montana,9618
2017-08,Nebraska,5209
2017-08,Nevada,9035
2017-08,New Hampshire,9313
2017-08,New Jersey,7443
2017-08,New Mexico,11690
2017-08,New York,28779
2017-08,North Carolina,41122
2017-08,North Dakota,4874
2017-08,Ohio,51103
2017-08,Oklahoma,24061
2017-08,Oregon,24904
2017-08,Pennsylvania,79020
2017-08,Puerto Rico,1490
2017-08,Rhode Island,1718
2017-08,South Carolina,31663
2017-08,South Dakota,6686
2017-08,Tennessee,49945
2017-08,Texas,110946
2017-08,Utah,22010
2017-08,Vermont,2676
2017-08,Virgin Islands,132
2017-08,Virginia,39114
2017-08,Washington,42120
2017-08,West Virginia,14770
2017-08,Wisconsin,40924
2017-08,Wyoming,4111
2017-07,Alabama,31474
2017-07,Alaska,6487
2017-07,Arizona,25714
2017-07,Arkansas,14015
2017-07,California,114595
2017-07,Colorado,33811
2017-07,Connecticut,14525
2017-07,Delaware,2981
2017-07,District of Columbia,68
2017-07,Florida,92822
2017-07,Georgia,35085
2017-07,Guam,145
2017-07,Hawaii,1109
2017-07,Idaho,11871
2017-07,Illinois,108000
2017-07,Indiana,47145
2017-07,Iowa,8801
2017-07,Kansas,13775
2017-07,Kentucky,390494
2017-07,Louisiana,20454
2017-07,Maine,5837
2017-07,Mariana Islands,13
2017-07,Maryland,10088
2017-07,Massachusetts,12900
2017-07,Michigan,33378
2017-07,Minnesota,41186
2017-07,Mississippi,14388
2017-07,Missouri,32415
2017-07,Montana,7890
2017-07,Nebraska,4266
2017-07,Nevada,8310
2017-07,New Hampshire,8333
2017-07,New Jersey,7034
2017-07,New Mexico,10580
2017-07,New York,25576
2017-07,North Carolina,34784
2017-07,North Dakota,4136
2017-07,Ohio,49432
2017-07,Oklahoma,20738
2017-07,Oregon,23239
2017-07,Pennsylvania,73654
2017-07,Puerto Rico,1381
2017-07,Rhode Island,1646
2017-07,South Carolina,26567
2017-07,South Dakota,6068
2017-07,Tennessee,52643
2017-07,Texas,98338
2017-07,Utah,17925
2017-07,Vermont,2275
2017-07,Virgin Islands,151
2017-07,Virginia,36183
2017-07,Washington,38369
2017-07,West Virginia,13970
2017-07,Wisconsin,32846
2017-07,Wyoming,3398
2017-06,Alabama,35687
2017-06,Alaska,6353
2017-06,Arizona,28359
2017-06,Arkansas,16614
2017-06,California,130187
2017-06,Colorado,36459
2017-06,Connecticut,16504
2017-06,Delaware,3634
2017-06,District of Columbia,74
2017-06,Florida,100508
2017-06,Georgia,39874
2017-06,Guam,156
2017-06,Hawaii,1083
2017-06,Idaho,20241
2017-06,Illinois,113889
2017-06,Indiana,49689
2017-06,Iowa,8352
2017-06,Kansas,13485
2017-06,Kentucky,392002
2017-06,Louisiana,23497
2017-06,Maine,6474
2017-06,Mariana Islands,12
2017-06,Maryland,10945
2017-06,Massachusetts,15841
2017-06,Michigan,37088
2017-06,Minnesota,44775
2017-06,Mississippi,17154
2017-06,Missouri,36752
2017-06,Montana,9901
2017-06,Nebraska,4265
2017-06,Nevada,10602
2017-06,New Hampshire,9184
2017-06,New Jersey,7790
2017-06,New Mexico,11398
2017-06,New York,27677
2017-06,North Carolina,39169
2017-06,North Dakota,4939
2017-06,Ohio,53164
2017-06,Oklahoma,24632
