month,state,killed,injured
2015-03,District of Columbia,,
2015-02,District of Columbia,,
2015-01,District of Columbia,,
2014-12,District of Columbia,,
2014-11,District of Columbia,,
17-Sep-,Florida,0,1
26-Jul-,Florida,0,1
14-Jul-,Florida,0,2
7-Jun-01,Florida,0,1
25-May-,Florida,0,1
29-Apr-,Florida,0,1
22-Apr-,Florida,0,3
24-Jan-,Florida,0,1
15-Jan-,Florida,0,1
11-Jan-,Florida,0,1
6-Jan-01,Florida,0,1
29-Oct-,Florida,0,1
11-Oct-,Florida,0,1
30-Sep-,Florida,0,1
22-Sep-,Florida,0,1
31-Aug-,Florida,0,1
8-Aug-01,Florida,0,1
6-Aug-01,Florida,0,1
7-Jul-01,Florida,0,1
21-May-,Florida,0,1
4-May-01,Florida,0,1
2-May-01,Florida,0,1
21-Mar-,Florida,0,1
13-Feb-,Florida,0,1
14-Jan-,Florida,0,1
17-Dec-,Florida,0,1
4-Dec-01,Florida,0,1
26-Oct-,Florida,0,1
4-Oct-01,Florida,0,1
21-Jul-,Florida,0,1
9-Jul-01,Florida,0,1
6-Jul-01,Florida,0,1
30-Jun-,Florida,0,1
8-Jun-01,Florida,0,1
1-Jun-01,Florida,0,1
21-Apr-,Florida,0,1
30-Mar-,Florida,0,1
12-Mar-,Florida,0,6
8-Mar-01,Florida,0,1
29-Feb-,Florida,0,1
7-Feb-01,Florida,0,1
28-Jan-,Florida,0,1
25-Oct-,Florida,0,2
19-Oct-,Florida,0,1
11-Sep-,Florida,0,1
6-Sep-01,Florida,0,1
1-Sep-01,Florida,0,1
2-Aug-01,Florida,0,1
16-Jun-,Florida,0,1
14-May-,Florida,0,1
23-Feb-,Florida,0,1
23-Jan-,Florida,0,1
6-Dec-01,Florida,0,1
24-Nov-,Florida,0,1
2018-09,Florida,,
2018-08,Florida,,
2018-07,Florida,,
2018-06,Florida,,
2018-05,Florida,,
2018-04,Florida,,
2018-03,Florida,,
2018-02,Florida,,
2018-01,Florida,,
2017-12,Florida,,
2017-11,Florida,,
2017-10,Florida,,
2017-09,Florida,,
2017-08,Florida,,
2017-07,Florida,,
2017-06,Florida,,
2017-05,Florida,,
2017-04,Florida,,
2017-03,Florida,,
2017-02,Florida,,
2017-01,Florida,,
2016-12,Florida,,
2016-11,Florida,,
2016-10,Florida,,
2016-09,Florida,,
2016-08,Florida,,
2016-07,Florida,,
2016-06,Florida,,
2016-05,Florida,,
2016-04,Florida,,
2016-03,Florida,,
2016-02,Florida,,
2016-01,Florida,,
2015-12,Florida,,
2015-11,Florida,,
2015-10,Florida,,
2015-09,Florida,,
2015-08,Florida,,
2015-07,Florida,,
2015-06,Florida,,
2015-05,Florida,,
2015-04,Florida,,
2015-03,Florida,,
2015-02,Florida,,
2015-01,Florida,,
2014-12,Florida,,
2014-11,Florida,,
28-Sep-,Georgia,0,1
15-Jul-,Georgia,0,2
12-Jul-,Georgia,0,1
3-Jul-01,Georgia,1,1
12-Jun-,Georgia,0,1
6-Jun-01,Georgia,0,1
29-Dec-,Georgia,0,1
22-Nov-,Georgia,0,1
21-Nov-,Georgia,0,1
12-Nov-,Georgia,0,2
9-Nov-01,Georgia,0,2
17-Sep-,Georgia,0,1
1-Sep-01,Georgia,0,1
25-Aug-,Georgia,0,1
21-Aug-,Georgia,0,1
6-Jul-01,Georgia,0,1
26-Apr-,Georgia,0,1
1-Jan-01,Georgia,0,2
5-Nov-01,Georgia,0,1
26-Sep-,Georgia,0,1
16-Sep-,Georgia,0,1
28-Aug-,Georgia,0,1
25-May-,Georgia,0,2
24-Mar-,Georgia,0,1
18-Mar-,Georgia,0,1
16-Mar-,Georgia,0,1
29-Jan-,Georgia,0,1
20-Jan-,Georgia,0,1
17-Jan-,Georgia,0,1
16-Jan-,Georgia,0,1
22-Dec-,Georgia,0,1
19-Dec-,Georgia,0,1
28-Nov-,Georgia,0,1
22-Sep-,Georgia,0,1
