Date,State,City_country,n_killed,n_injured
27-Nov-14,Texas,Georgetown,3,2
28-Nov-14,Tennessee,Memphis,4,0
29-Nov-14,Georgia,Atlanta,2,3
29-Nov-14,New Jersey,Newark,3,1
30-Nov-14,New York,Brooklyn,4,0
30-Nov-14,Tennessee,Chattanooga,5,0
2-Dec-14,Virginia,Newport News,5,0
2-Dec-14,Missouri,Saint Louis,3,1
7-Dec-14,Indiana,South Bend,4,0
12-Dec-14,Oregon,Portland,4,0
13-Dec-14,Florida,Tampa,5,0
14-Dec-14,Florida,Miami,4,1
15-Dec-14,Pennsylvania,Lansdale,0,6
16-Dec-14,New Jersey,Elizabeth,4,0
20-Dec-14,Illinois,Rockford,0,4
21-Dec-14,Illinois,Calumet City,8,1
21-Dec-14,Mississippi,Waynesboro,4,1
21-Dec-14,Florida,Sarasota,2,2
22-Dec-14,Illinois,Chicago,5,0
22-Dec-14,New York,Webster,2,3
22-Dec-14,Michigan,Detroit,3,1
23-Dec-14,Kentucky,Winchester,3,1
24-Dec-14,Missouri,Saint Louis,3,1
26-Dec-14,Illinois,East St. Louis,3,1
27-Dec-14,California,Sacramento,4,0
27-Dec-14,California,Los Angeles,3,1
29-Dec-14,Louisiana,New Orleans,4,0
1-Jan-15,Tennessee,Memphis,5,0
2-Jan-15,Georgia,Savannah,4,1
4-Jan-15,Texas,Dallas,1,3
4-Jan-15,Virginia,Roanoke,4,2
6-Jan-15,Florida,Miami,3,1
7-Jan-15,Tennessee,Chattanooga,3,1
8-Jan-15,Massachusetts,Boston,3,1
9-Jan-15,California,San Francisco,0,4
10-Jan-15,Kansas,Wichita,2,2
11-Jan-15,California,San Jose,5,0
11-Jan-15,Florida,Lakeland,3,1
11-Jan-15,North Carolina,Hope Mills,5,2
13-Jan-15,Virginia,Portsmouth,5,0
13-Jan-15,Illinois,Rockford,2,2
19-Jan-15,Texas,San Antonio,5,2
20-Jan-15,Tennessee,Clarksville,3,1
23-Jan-15,Massachusetts,Boston,6,0
24-Jan-15,Nebraska,Omaha,5,3
24-Jan-15,New York,Arverne (Queens),1,3
26-Jan-15,California,Stockton,3,1
28-Jan-15,Georgia,Ellenwood,3,1
31-Jan-15,Georgia,Lagrange,0,4
1-Feb-15,New York,New York (Manhattan),4,1
1-Feb-15,New York,Syracuse,6,0
5-Feb-15,Ohio,Beachwood (Warrensville Heights),3,3
6-Feb-15,Oklahoma,Tulsa,3,1
7-Feb-15,Georgia,Douglasville,2,4
8-Feb-15,Tennessee,Friendship,6,0
9-Feb-15,Florida,New Port Richey,1,3
15-Feb-15,California,Long Beach,5,0
17-Feb-15,Arkansas,Little Rock,3,1
20-Feb-15,California,Sacramento,4,0
22-Feb-15,Georgia,Clarkesville,2,2
22-Feb-15,South Carolina,Charleston,4,0
22-Feb-15,Texas,Killeen,1,3
23-Feb-15,Florida,Daytona Beach,4,0
25-Feb-15,Texas,Houston,0,3
26-Feb-15,Missouri,Tyrone,1,7
28-Feb-15,Maryland,Baltimore,3,1
1-Mar-15,Michigan,Detroit,5,1
1-Mar-15,Florida,Orlando,4,0
4-Mar-15,California,San Bernardino,4,3
7-Mar-15,Missouri,Saint Louis,4,0
8-Mar-15,South Carolina,Seneca,3,1
9-Mar-15,Illinois,Chicago,3,1
10-Mar-15,Georgia,Columbus,5,0
13-Mar-15,Mississippi,Brookhaven,3,2
14-Mar-15,California,Coachella,4,0
14-Mar-15,Georgia,Atlanta,5,0
15-Mar-15,California,Compton,4,0
17-Mar-15,California,Stockton,4,3
18-Mar-15,Arizona,Mesa,5,1
18-Mar-15,New Jersey,Newark,3,1
20-Mar-15,Texas,Lancaster,5,1
20-Mar-15,Oklahoma,Oklahoma City,4,0
21-Mar-15,Florida,Tampa,4,0
22-Mar-15,New Mexico,Albuquerque,6,1
23-Mar-15,Tennessee,Clarksville,4,1
24-Mar-15,Indiana,Indianapolis,0,4
26-Mar-15,Texas,Amarillo,4,0
27-Mar-15,Florida,Panama City Beach,7,0
2-Apr-15,Maryland,Baltimore,5,0
3-Apr-15,Florida,Daytona Beach,4,0
5-Apr-15,Michigan,Benton Harbor,4,0
5-Apr-15,Indiana,Indianapolis,5,0
5-Apr-15,Kentucky,Louisville,4,1
5-Apr-15,Pennsylvania,Pittsburgh,3,1
7-Apr-15,Georgia,Rome,3,1
16-Apr-15,Arizona,Phoenix,0,4
18-Apr-15,New Jersey,Paterson,3,1
18-Apr-15,North Carolina,Charlotte,4,0
18-Apr-15,North Carolina,Lumberton,3,1
18-Apr-15,Pennsylvania,Williamsport,5,0
18-Apr-15,Alabama,Montgomery,5,0
19-Apr-15,Virginia,Richmond,4,0
21-Apr-15,Texas,Killeen,3,2
25-Apr-15,New York,Gates,6,1
25-Apr-15,New Jersey,Trenton,4,0
27-Apr-15,Arizona,Gila Bend,2,2
27-Apr-15,New York,Brooklyn,4,2
1-May-15,Wisconsin,Milwaukee,3,2
3-May-15,Wisconsin,Menasha,1,3
3-May-15,Texas,Houston,6,0
3-May-15,Ohio,Dayton,6,1
3-May-15,New York,Bronx,4,0
3-May-15,Indiana,South Bend,4,0
4-May-15,New York,Buffalo,3,1
7-May-15,Michigan,Detroit,4,0
7-May-15,Ohio,Cincinnati,4,0
10-May-15,New Jersey,Newark,3,1
10-May-15,New Jersey,Jersey City,4,0
10-May-15,Ohio,Cleveland,4,1
12-May-15,Maryland,Capitol Heights,4,1
12-May-15,Arizona,Tucson,0,4
16-May-15,Maryland,Baltimore,5,0
16-May-15,New York,Rochester,4,0
16-May-15,Wisconsin,Milwaukee,5,0
17-May-15,Texas,Waco,18,9
18-May-15,Florida,Miami,4,1
18-May-15,Missouri,Kinloch,4,0
20-May-15,Maryland,Baltimore,3,1
23-May-15,California,Fresno,2,2
24-May-15,Missouri,Saint Louis,4,0
24-May-15,Alabama,Montgomery,3,1
24-May-15,Michigan,Flint,7,0
24-May-15,Massachusetts,Brockton,5,0
25-May-15,Illinois,Decatur,4,1
26-May-15,Louisiana,New Orleans,2,2
28-May-15,Pennsylvania,Chester,3,1
28-May-15,Illinois,Chicago,5,0
28-May-15,Nebraska,Omaha,4,0
30-May-15,California,San Diego,4,0
31-May-15,Connecticut,New Haven,5,0
31-May-15,Maryland,Springdale,3,1
31-May-15,Ohio,Cleveland,1,2
31-May-15,Georgia,Conyers,2,2
3-Jun-15,New York,Wyandanch,1,3
5-Jun-15,Louisiana,New Orleans,3,1
5-Jun-15,Iowa,Davenport,5,0
6-Jun-15,Illinois,Chicago,5,0
6-Jun-15,New York,Buffalo,4,1
7-Jun-15,Montana,Deer Lodge,0,4
9-Jun-15,Missouri,Saint Louis,3,1
10-Jun-15,California,Los Angeles,3,1
11-Jun-15,Texas,Houston,3,1
11-Jun-15,Connecticut,Bridgeport,8,1
12-Jun-15,Florida,Allapattah,4,0
13-Jun-15,Ohio,Columbus,1,4
13-Jun-15,New York,Bronx,5,0
13-Jun-15,Georgia,Milledgeville,3,1
13-Jun-15,Oklahoma,Oklahoma City,4,0
13-Jun-15,Georgia,Fayetteville,4,1
