Date,State,City_country,n_killed,n_injured
9-Mar-15,Illinois,Chicago,1,3
10-Mar-15,Georgia,Columbus,0,5
13-Mar-15,Mississippi,Brookhaven,2,3
14-Mar-15,California,Coachella,0,4
14-Mar-15,Georgia,Atlanta,0,5
15-Mar-15,California,Compton,0,4
17-Mar-15,California,Stockton,3,4
18-Mar-15,Arizona,Mesa,1,5
18-Mar-15,New Jersey,Newark,1,3
20-Mar-15,Texas,Lancaster,1,5
20-Mar-15,Oklahoma,Oklahoma City,0,4
21-Mar-15,Florida,Tampa,0,4
22-Mar-15,New Mexico,Albuquerque,1,6
23-Mar-15,Tennessee,Clarksville,1,4
24-Mar-15,Indiana,Indianapolis,4,0
26-Mar-15,Texas,Amarillo,0,4
27-Mar-15,Florida,Panama City Beach,0,7
2-Apr-15,Maryland,Baltimore,0,5
3-Apr-15,Florida,Daytona Beach,0,4
5-Apr-15,Michigan,Benton Harbor,0,4
5-Apr-15,Indiana,Indianapolis,0,5
5-Apr-15,Kentucky,Louisville,1,4
5-Apr-15,Pennsylvania,Pittsburgh,1,3
7-Apr-15,Georgia,Rome,1,3
16-Apr-15,Arizona,Phoenix,5,0
18-Apr-15,New Jersey,Paterson,1,3
18-Apr-15,North Carolina,Charlotte,0,4
18-Apr-15,North Carolina,Lumberton,1,3
18-Apr-15,Pennsylvania,Williamsport,0,5
18-Apr-15,Alabama,Montgomery,0,5
19-Apr-15,Virginia,Richmond,0,4
21-Apr-15,Texas,Killeen,2,3
25-Apr-15,New York,Gates,1,6
25-Apr-15,New Jersey,Trenton,0,4
27-Apr-15,Arizona,Gila Bend,2,2
27-Apr-15,New York,Brooklyn,2,4
1-May-15,Wisconsin,Milwaukee,2,3
3-May-15,Wisconsin,Menasha,4,1
3-May-15,Texas,Houston,0,6
3-May-15,Ohio,Dayton,1,6
3-May-15,New York,Bronx,0,4
3-May-15,Indiana,South Bend,0,4
4-May-15,New York,Buffalo,1,3
7-May-15,Michigan,Detroit,0,4
7-May-15,Ohio,Cincinnati,0,4
10-May-15,New Jersey,Newark,1,3
